aaa,9972361,9016,188,390
aab,9999391,9602,18,37
aac,9942269,8843,18,60
aad,9798002,9474,272,394
aae,9960978,7794,12,32
aaf,9998716,10524,212,336
aag,9417619,9832,271,493
aba,9907099,7769,10,30
abb,9544568,9689,85,274
abc,9714215,9817,166,290
abd,9714566,9313,76,110
abe,9711963,8305,206,272
abf,9784306,8139,167,439
abg,9949618,7516,124,317
aca,9716313,7478,74,134
acb,9996082,7989,92,253
acc,9302240,8974,173,283
acd,9894642,7839,127,234
ace,9194073,9206,342,541
acf,9706241,7547,144,322
acg,9824576,7932,114,228
ada,9830069,7455,31,73
adb,9996521,8251,19,33
adc,9942132,9275,264,417
add,9920139,8769,29,57
ade,9827943,9639,189,417
adf,9944700,9953,144,255
adg,9954314,9788,313,543
aea,9855535,6386,134,193
aeb,9964370,8262,5,5
aec,9998065,8390,77,144
aed,9665548,9524,59,144
aee,9708954,8448,17,42
aef,9950701,8882,91,307
aeg,9976451,8660,102,227
afa,9926187,10002,65,131
afb,9581702,8427,204,371
afc,9918760,9401,259,426
afd,9669912,9504,125,231
afe,9678492,10444,188,330
aff,9811065,6870,101,207
afg,9931681,9095,506,1273
aga,9997599,7472,13,55
agb,9949453,9393,180,365
agc,9892944,8580,294,420
agd,9758647,9229,43,84
age,9590257,10004,217,297
agf,9794924,12276,71,110
agg,9517862,9677,85,114
baa,9803293,9379,7,18
bab,9974552,9501,33,90
bac,9736612,9134,528,848
bad,9898316,8951,279,522
bae,9877104,9035,22,78
baf,9934541,8630,74,230
bag,9799731,8792,9,25
bba,9657600,10983,5,15
bbb,9941998,8683,77,109
bbc,9702426,8623,5,10
bbd,9809878,9456,54,90
bbe,9890324,8531,5,5
bbf,9922889,8638,541,1142
bbg,9992503,6925,46,113
bca,9813087,8467,83,214
bcb,9901011,7931,119,264
bcc,9679086,9124,34,58
bcd,9569597,8479,184,407
bce,9980267,10458,151,322
bcf,9251659,9258,249,381
bcg,9662795,11223,57,153
bda,9940335,8221,157,262
bdb,9931302,7741,9,30
bdc,9764327,9517,386,1556
bdd,9674996,8243,158,278
bde,9918817,6623,58,244
bdf,9877421,7072,10,57
bdg,9764755,7944,73,107
bea,9986442,8846,79,176
beb,9805145,9210,49,125
bec,9905337,10068,70,188
bed,9790402,9705,90,209
bee,9885229,10692,22,68
bef,9585346,9109,143,300
beg,9947053,8464,176,309
bfa,9833565,9722,22,56
bfb,9814690,9503,94,213
bfc,9896437,9719,146,229
bfd,9964913,9447,93,180
bfe,9918290,9236,129,227
bff,9859669,7175,85,162
bfg,9927559,7738,115,268
bga,9697737,8806,112,289
bgb,9980473,9439,37,71
bgc,9822366,10643,163,296
bgd,9491887,10309,58,112
bge,9536326,9068,177,324
bgf,9966306,8544,57,240
bgg,9844410,8227,99,170
caa,9963697,9187,56,204
cab,9837210,9212,152,269
cac,9923356,7064,361,664
cad,9709261,9501,33,85
cae,9893516,9384,171,318
caf,9861542,10112,407,645
cag,9472608,10042,27,64
cba,9777607,9184,72,189
cbb,9957799,9094,223,375
cbc,9785206,8294,105,179
cbd,9565827,8451,65,221
cbe,9776812,9885,233,395
cbf,9657381,8216,8,21
cbg,9817990,8676,91,283
cca,9905684,8734,28,77
ccb,9900164,8400,237,418
ccc,9995806,9439,133,222
ccd,9956946,9345,235,382
cce,9906435,7712,76,154
ccf,9909425,8409,5,6
ccg,9928368,8465,89,213
cda,9899819,8279,118,195
cdb,9917316,9144,206,290
cdc,9679406,9162,191,322
cdd,9864002,10024,50,115
cde,9840692,9608,364,1051
cdf,9995630,9827,33,45
cdg,9927168,9626,323,496
cea,9733391,7370,5,14
ceb,9840344,10168,74,232
cec,9804145,8940,27,58
ced,9885767,7840,66,125
cee,9997965,8189,30,59
cef,9740769,9137,71,99
ceg,9946125,9648,207,318
cfa,9982563,9552,10,31
cfb,9990147,8370,8,24
cfc,9926896,9828,250,379
cfd,9866329,8198,77,186
cfe,9833749,8264,6,16
cff,9347440,8332,59,96
cfg,9987721,9023,26,74
cga,9904865,8779,99,199
cgb,9743870,7686,6,15
cgc,9779283,8585,161,232
cgd,9869020,10302,88,150
cge,9843874,8398,25,71
cgf,9967888,8891,7,15
cgg,9584496,9047,125,293
daa,9127636,10042,145,311
dab,9798203,10224,114,259
dac,9972461,8196,228,430
dad,9651868,10636,175,338
dae,9872603,8184,337,554
daf,9718502,9336,7,34
dag,9945633,8123,113,156
dba,9894011,9745,119,292
dbb,9866369,9372,214,493
dbc,9880979,8932,129,280
dbd,9993083,9638,12,33
dbe,9996908,8573,75,153
dbf,9923433,8598,405,618
dbg,9836909,8045,119,218
dca,9835792,10740,10,21
dcb,9965790,8179,29,55
dcc,9874434,10669,102,215
dcd,9605188,7582,215,335
dce,9736556,7117,23,46
dcf,9795073,8531,77,109
dcg,9809982,8046,71,103
dda,9624739,9576,240,408
ddb,9871861,8701,202,479
ddc,9841465,9214,32,78
ddd,9566491,8963,138,287
dde,9905867,10025,10,34
ddf,9998954,8520,74,107
ddg,9809023,11032,23,61
dea,9982936,6865,155,258
deb,9919712,8395,147,233
dec,9951555,8541,112,348
ded,9981746,8743,63,102
dee,9902683,6901,23,85
def,9957564,8240,99,174
deg,9952801,9005,275,483
dfa,9667977,8802,248,421
dfb,9926662,8550,27,44
dfc,9868950,7565,8,29
dfd,9848847,8849,190,413
dfe,9637343,8950,156,400
dff,9965737,8321,80,279
dfg,9931380,6595,142,200
dga,9518037,7511,168,315
dgb,9551840,8792,79,168
dgc,9905144,10296,8,28
dgd,9925062,9269,54,150
dge,9937599,10116,115,261
dgf,9814642,9034,5,6
dgg,9969222,7167,17,36
eaa,9814480,8858,167,392
eab,9570917,9853,207,427
eac,9910751,7685,41,70
ead,9981594,8438,6,21
eae,9940875,7856,151,251
eaf,9824557,8670,23,70
eag,9896969,9603,100,176
eba,9989484,11420,40,101
ebb,9959497,8476,138,255
ebc,9590947,10720,126,263
ebd,9963869,9092,61,211
ebe,9916902,9984,422,914
ebf,9814825,9302,95,167
ebg,9924842,8109,88,161
eca,9974563,8462,17,36
ecb,9925551,8663,122,204
ecc,9931818,9317,329,467
ecd,9886145,8525,49,74
ece,9842330,8755,6,12
ecf,9928979,9416,49,102
ecg,9814601,8476,69,155
eda,9816526,10851,83,212
edb,9827564,10016,134,217
edc,9800014,9192,43,92
edd,9888934,10411,94,190
ede,9804629,9350,135,220
edf,9872181,8973,68,201
edg,9866011,8255,50,134
eea,9276357,9174,231,431
eeb,9903863,8804,200,308
eec,9975830,7216,222,356
eed,9997623,9614,33,146
eee,9959440,11150,5,10
eef,9929535,9133,71,126
eeg,9911588,8687,355,502
efa,9924168,7574,93,193
efb,9837801,10110,108,149
efc,9874823,9658,140,237
efd,9606484,10282,91,178
efe,9925959,8262,208,389
eff,9995875,11414,26,90
efg,9974362,7494,301,412
ega,9867491,8866,658,2444
egb,9809938,9083,60,175
egc,9885753,9070,70,109
egd,9978028,9840,101,159
ege,9398941,9281,6,17
egf,9964082,8399,98,228
egg,9535275,8193,161,277
faa,9985212,9037,60,83
fab,9924044,8617,111,188
fac,9730034,8450,30,81
fad,9602521,8468,43,142
fae,9912877,9363,13,55
faf,9427982,9492,346,608
fag,9968004,9937,30,59
fba,9976334,8169,26,69
fbb,9779191,9651,91,299
fbc,9936687,9271,113,259
fbd,9664510,8063,36,77
fbe,9914081,8797,100,212
fbf,9712234,8726,153,245
fbg,9985102,7132,9,33
fca,9813761,8416,100,225
fcb,9741559,8964,34,80
fcc,9911475,10046,13,27
fcd,9438479,9390,413,785
fce,9900680,8076,10,32
fcf,9975569,7997,9,34
fcg,9731276,8511,218,374
fda,9824445,9021,273,562
fdb,9956300,8119,37,124
fdc,9999759,8340,466,842
fdd,9763280,8525,164,349
fde,9626122,10133,127,289
fdf,9722012,9988,182,287
fdg,9983912,9540,107,155
fea,9934701,10935,413,567
feb,9979034,8211,231,362
fec,9808370,8576,5,9
fed,9926036,9742,25,62
fee,9955752,10060,52,95
fef,9887254,7772,135,260
feg,9942649,9575,111,149
ffa,9936199,8516,157,328
ffb,9585130,8635,74,129
ffc,9789336,11169,191,394
ffd,9820601,7377,40,73
ffe,9932017,10317,292,531
fff,9554512,9863,43,105
ffg,9933617,9295,27,77
fga,9992309,9008,35,79
fgb,9551187,8664,144,194
fgc,9994020,9165,8,25
fgd,9931108,8405,206,428
fge,9991151,10163,121,200
fgf,9970252,7811,154,227
fgg,9842547,8200,124,345
gaa,9692010,8546,179,305
gab,9886786,8388,25,78
gac,9805504,8894,21,61
gad,9855303,9601,127,223
gae,9905468,7788,105,246
gaf,9997026,9443,148,254
gag,9728441,10201,224,346
gba,9726272,8699,164,273
gbb,9539959,10872,5,6
gbc,9950468,7605,48,67
gbd,9943143,7375,36,81
gbe,9591565,8238,85,144
gbf,9929956,8433,209,332
gbg,9980246,8955,62,232
gca,9811459,8117,117,278
gcb,9879699,9622,34,48
gcc,9948530,8132,45,97
gcd,9728966,8377,250,377
gce,9994726,8426,224,457
gcf,9949251,9753,146,238
gcg,9783866,9131,298,404
gda,9657526,11271,26,44
gdb,9978959,9114,71,200
gdc,9913495,9163,164,299
gdd,9701896,9341,104,206
gde,9890842,9437,97,171
gdf,9977586,8647,55,181
gdg,9860831,8700,73,205
gea,9934471,10168,91,187
geb,9977281,8024,215,299
gec,9902582,7945,162,264
ged,9990200,7894,32,91
gee,9965771,8416,268,462
gef,9541806,10001,134,229
geg,9741806,10046,71,106
gfa,9939152,7565,187,283
gfb,9891898,10203,5,10
gfc,9923548,8768,134,256
gfd,9966104,9015,84,127
gfe,9984617,9425,5,10
gff,9878835,8038,73,226
gfg,9985359,8918,208,315
gga,9652215,10606,60,219
ggb,9353748,8531,30,61
ggc,9882683,8820,15,36
ggd,9742464,8378,5,11
gge,9695319,9430,14,52
ggf,9847706,7787,110,167
ggg,9999089,8205,10,38
